DBSCAN_Cluster,Government Debt,Core PCE Price Index,Core Consumer Prices,Wages,Corruption Rank,Price to Rent Ratio,Money Supply M0,Military Expenditure,Interbank Rate,Government Bond 10Y,Consumer Price Index CPI,GDP from Public Administration,Foreign Exchange Reserves,Mining Production,PCE Price Index,Pending Home Sales,Crude Oil Production,Disposable Personal Income,Foreign Direct Investment,Mortgage Originations
49,-1.0144930831637946,-0.9057502700480261,-0.8850698668685831,-0.821851069251902,-0.7891373566516964,-0.44258625443907423,-0.9082559723330436,-0.44626458131311914,-0.1742833231654012,-0.604530058624357,-0.9944968839675979,-0.5638535092207719,1.1647371552949763,-0.4280519666777736,-0.9503818283922959,0.31453207221039214,-1.1426712261414012,-0.923985556458204,-1.1798489246178696,-1.1667781700168263
50,-1.0237833862689416,-0.9084812606282472,-0.8705950577065603,-0.8189902327322062,-0.47677311298584274,-0.5078503375407303,-0.8804198060197831,0.070632633453224,-0.3290853125458446,-0.3185657103357343,-0.9623764648068295,-0.5981153169475507,0.7607487879326751,-0.4395489474016797,-0.949375372831775,-0.1488675528007943,-1.1281093590566695,-0.9032925993470543,-2.07812906504889,-0.7245756722896095
51,-0.9901661381262634,-0.9014009146795269,-0.8552606993068876,-0.8046860501337283,-0.47677311298584274,-0.5078503375407303,-0.9721692752496741,0.070632633453224,-0.3172158932579528,0.027342373677252518,-0.9255169674092256,-0.5981153169475507,0.3612288690781518,-0.5890096968124591,-0.9334733749755515,-0.3246398243567616,-1.0943684475188764,-0.9305356105988991,-2.07812906504889,-0.7245756722896095
52,-0.9558999062406475,-0.8950286033256777,-0.8394106113646255,-0.7875210310155556,-0.47677311298584274,-0.5078503375407303,-0.9199154191879398,0.070632633453224,-0.3042501284077351,-0.02035706996708647,-0.9074031572595466,-0.5981153169475507,0.5655588326610956,-0.8994281763579235,-0.9432359939126008,0.16272874677569313,-1.1014717973163066,-0.9340474495092846,-2.07812906504889,-0.7245756722896095
53,-0.9405839722134377,-0.8752036346692591,-0.8238355791784105,-0.7817993579761647,-0.47677311298584274,-0.6376280954297983,-0.855269585578855,0.070632633453224,-0.38933788386457646,0.06479268890639195,-0.8887627828613297,-0.550028569260842,0.5840419605796322,-1.1178708101121393,-0.9305546538500425,0.31453207221039214,-1.0805169154138878,-0.9075827376916333,-1.257174673451212,-0.1760762755374168
54,-0.9291971950978665,-0.8683255843190733,-0.8170279492162236,-0.7789385214564687,-0.47677311298584274,-0.6376280954297983,-0.8419009004415654,0.070632633453224,-0.5461707182268011,0.4223525677662585,-0.8671385443880697,-0.550028569260842,1.0962886486076484,-1.1293677908360455,-0.9212952626932543,0.8258695894641152,-1.0453553339166088,-0.8536563947404188,-1.257174673451212,-0.1760762755374168
55,-0.8985141600732259,-0.8568958830018523,-0.8098764995589772,-0.7703560118973829,-0.47677311298584274,-0.6376280954297983,-0.8976953215168284,0.070632633453224,-0.6515956687357176,0.7871102630959996,-0.802651976083881,-0.550028569260842,1.0654157316448178,-1.2328406173512003,-0.8684563457659294,0.6421076692010584,-1.0837134228227314,-0.8967181838013055,-1.257174673451212,-0.1760762755374168
56,-0.8815039546004396,-0.8492086502575258,-0.8046848221635718,-0.7617735023382961,-0.47677311298584274,-0.6757273975558299,-0.903860788178318,0.070632633453224,-0.7082531174744677,0.6363660823652438,-0.8146576409505293,-0.5362036293009149,1.22404565367094,-1.3937983474858855,-0.8674498902054097,1.2173623761114967,-1.0378968166293072,-0.9117108885116976,-1.2357145282960318,-0.19877822308907558
57,-0.8618063171877058,-0.8359582885534907,-0.7966738232686753,-0.7388868101807314,-0.47677311298584274,-0.6757273975558299,-0.8811523367122375,0.070632633453224,-0.7590574576659477,0.6736885275160601,-0.7977022721476315,-0.5362036293009149,1.341240871352211,-1.106373829388233,-0.841483336743981,1.2653002683540333,-1.0307934668318772,-0.9084663922931382,-1.2357145282960318,-0.19877822308907558
58,-0.8485057856443767,-0.8201792318677706,-0.7820958681981351,-0.7303043006216455,-0.47677311298584274,-0.6757273975558299,-0.8259683578806863,0.070632633453224,-0.8251413547061266,0.5080879911206054,-0.7929631939107972,-0.5362036293009149,1.6229562386380392,0.22727593458487377,-0.8269903766724872,1.4730311347383582,-0.9807148507599949,-0.8927982122607943,-1.2357145282960318,-0.19877822308907558
